INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': e8aa515b-3fbf-49f7-9f5f-f308b956c9d3, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': e8aa515b-3fbf-49f7-9f5f-f308b956c9d3, 'manifest': IngestionManifest(anndata=HttpUrl('https://www.dropbox.com/s/ow84zm4h0wkl409/test.h5ad?dl=0'), atac_fragment=None, flags=IngestionManifestFlags(deduplicate_fragments=True)), 'current_dataset_version_id': 33970ac7-4165-43ba-8599-c6743249375b}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': 30ccc6e7-351d-4b88-a100-a05ad8549d59, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': e159469d-8bd9-46c9-a87b-8f14c0bb4ab7, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': e159469d-8bd9-46c9-a87b-8f14c0bb4ab7, 'manifest': IngestionManifest(anndata=HttpUrl('https://www.dropbox.com/s/ow84zm4h0wkl409/test.h5ad?dl=0'), atac_fragment=None, flags=IngestionManifestFlags(deduplicate_fragments=True)), 'current_dataset_version_id': 51ef0838-51f3-4d21-b9cf-7b65e50c72b2}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': 47bbbde7-677b-4d35-adbb-0cef6895fdc8, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': 47bbbde7-677b-4d35-adbb-0cef6895fdc8, 'manifest': IngestionManifest(anndata=HttpUrl('https://www.dropbox.com/s/ow84zm4h0wkl409/test.h5ad?dl=0'), atac_fragment=None, flags=IngestionManifestFlags(deduplicate_fragments=True)), 'current_dataset_version_id': 28b31249-a95e-4a06-896c-93259a56b14d}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': e5e6a6ba-bbb6-4e6c-975b-4cf58fa78f6c, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': 869af97b-9e8e-4992-b2d6-c506d7bfa00a, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': 869af97b-9e8e-4992-b2d6-c506d7bfa00a, 'manifest': IngestionManifest(anndata=HttpUrl('https://www.dropbox.com/s/ow84zm4h0wkl409/test.h5ad?dl=0'), atac_fragment=None, flags=IngestionManifestFlags(deduplicate_fragments=True)), 'current_dataset_version_id': 7bc6b82e-4145-40b7-82c0-e8e3989b27bd}
