"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 21:44:49 GMT 2024","Tue Feb 27 21:44:49 GMT 2024","5","tests.unit.backend.layers.api","test_portal_api","TestUpdateCollection","","","test__set_collection_version_datasets_order_unauthorized__403",""
"passed","Tue Feb 27 21:43:04 GMT 2024","Tue Feb 27 21:43:06 GMT 2024","2003","tests.unit.cellguide_pipeline","test_gpt_descriptions","TestGptDescriptionGenerator","","","test__gpt_seo_description_generator",""
"passed","Tue Feb 27 21:44:39 GMT 2024","Tue Feb 27 21:44:39 GMT 2024","0","tests.unit.processing","test_handle_error","TestCleanupArtifacts","","","test_cleanup_artifacts__OK[None]","Check that all artifacts are deleted for the given cases."
"passed","Tue Feb 27 21:44:37 GMT 2024","Tue Feb 27 21:44:37 GMT 2024","2","tests.unit.processing.schema_migration","test_dataset_migrate","TestDatasetMigrate","","","test_dataset_migrate_revision",""
"passed","Tue Feb 27 21:44:19 GMT 2024","Tue Feb 27 21:44:19 GMT 2024","0","tests.unit.scripts","test_zenhub_close","TestFilterIssues","","","test_filter_issues_with_openprs",""
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","15","tests.unit.backend.layers.utils","test_secret_config","TestSecretConfig","","","test_singletonness",""
"passed","Tue Feb 27 21:44:46 GMT 2024","Tue Feb 27 21:44:46 GMT 2024","14","tests.unit.backend.layers.api","test_curation_api","TestGetCollections","","","test__verify_expected_revision_collection_fields",""
"passed","Tue Feb 27 21:44:48 GMT 2024","Tue Feb 27 21:44:48 GMT 2024","1","tests.unit.backend.layers.api","test_gene_info","GeneInfoAPIv1Tests","","","test_correct_parse_xml_tree","
        Successfully parses a properly formatted XML tree for gene information
        "
"passed","Tue Feb 27 21:44:50 GMT 2024","Tue Feb 27 21:44:50 GMT 2024","15","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_dataset_published_at_with_replaced_dataset_ok","
        When publishing a collection that contains a replaced dataset,
        `published_at` for the replaced dataset should not be updated
        "
"passed","Tue Feb 27 21:44:49 GMT 2024","Tue Feb 27 21:44:49 GMT 2024","8","tests.unit.backend.layers.api","test_portal_api","TestPublishRevision","","","test__can_publish_non_owned_collection_as_super_curator",""
"passed","Tue Feb 27 21:44:47 GMT 2024","Tue Feb 27 21:44:47 GMT 2024","9","tests.unit.backend.layers.api","test_curation_api","TestPostDataset","","","test_post_datasets_not_owner_403",""
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","1","tests.unit.backend.layers.utils","test_type_conversion_utils","","","","test_type_inference[parameters74]",""
"passed","Tue Feb 27 21:44:49 GMT 2024","Tue Feb 27 21:44:49 GMT 2024","77","tests.unit.backend.layers.api","test_portal_api","TestDataset","","","test__explorer_portal_integration","
        Tests the explorer <-> portal integration.
        The steps carried out by this test are:
        1. Generate the explorer_url
        2. Call the `get_dataset_identifiers` endpoint, retrieve `collection_id` and `dataset_id` from there
        3. Call the GET /collections/:collection_id endpoint, locate the dataset
        "
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","1","tests.unit.backend.layers.utils","test_type_conversion_utils","","","","test_type_inference[parameters1]",""
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","6","tests.unit.backend.layers.utils","test_uri","TestRegisteredSources","","","test_from_uri",""
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","1","tests.unit.backend.layers.utils","test_type_conversion_utils","","","","test_type_inference[parameters60]",""
"passed","Tue Feb 27 21:44:47 GMT 2024","Tue Feb 27 21:44:47 GMT 2024","4","tests.unit.backend.layers.api","test_curation_api","TestPostDataset","","","test_post_datasets_with_collection_201",""
"passed","Tue Feb 27 21:44:59 GMT 2024","Tue Feb 27 21:44:59 GMT 2024","45","tests.unit.backend.layers.utils","test_secret_config","TestSecretConfig","","","test_from_aws",""
"passed","Tue Feb 27 21:44:50 GMT 2024","Tue Feb 27 21:44:50 GMT 2024","6","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_tombstone_collection_ok","
        A Collection can be tombstoned
        "
